,S3P2_ES,,,z,S3P2,S3P2_ES,,,
2357,CIENCIA DE LA EDUCACION,,,2,2712,ENFERMERIA,,,
1879,CIENCIAS DE LA COMUNICACION,,,2,2712,ENFERMERIA,,,
739,CIENCIAS DE LA COMUNICACION,,,2,2712,ENFERMERIA,,,
2661,CIENCIAS DE LA COMUNICACION,,,2,2712,ENFERMERIA,,,
1694,CIENCIAS DE LA COMUNICACION,,,2,2712,TECNICA EN AUXILIAR DE ENFERMERIA,,,
94,CIENCIAS DE LA COMUNICACION,,,2,2712,TECNICA EN ENFERMERIA,,,
361,CIENCIAS DE LA COMUNICACION,,,2,2712,TECNICA EN ENFERMERIA GENERAL,,,
1108,CIENCIAS DE LA COMUNICACIONB,,,2,2712,TECNICO EN ENFERMERIA,,,
2624,CIENCIAS DE LA EDUCACION,,,2,2712,TECNICO EN ENFERMERIA,,,
609,CIENCIAS DE LA EDUCACION,,,3,2813,CULTORA DE BELLEZA,,,
149,CIENCIAS DE LA EDUCACION,,,3,2814,CARRERA COMERCIAL  DE  SECRETARIADO,,,
2368,CIENCIAS DE LA EDUCACION,,,3,2814,CARRERA TECNICA COMERCIAKL EN SECRETARIADO,,,
328,CIENCIAS DE LA EDUCACION,,,3,2814,SECRETAIRA CORRESPONSAL,,,
1355,CIENCIAS DE MATERIALES,,,3,2814,SECRETARIA,,,
274,CIENCIAS POLITICAS DE ADMINISTRACION PUBLICA,,,3,2814,SECRETARIA,,,
1771,CIENCIAS POLITICAS Y ADMINISTRACCION PUBLICA,,,3,2814,SECRETARIA,,,
1644,CIENCIAS SOCIALES,,,3,2814,SECRETARIA,,,
1136,CIENCIAS Y TECNICAS DE LA COMUNICACION,,,3,2814,SECRETARIA BILINGUE,,,
813,CINECIAS DE LA COMUNICACION,,,3,2814,SECRETARIA BILINGUE,,,
2257,CIRUJANO DENTISTA,,,3,2814,SECRETARIA BILINGUE CONTADOR PRIVADO,,,
2647,CIRUJANO DENTISTA,,,3,2814,SECRETARIA COMERCIAL,,,
796,COMERCIAL,,,3,2814,SECRETARIA COMERCIAL,,,
820,COMERCIO,,,3,2814,SECRETARIA EJECUTIVA,,,
686,COMERCIO,,,3,2814,SECRETARIA EJECUTIVA,,,
319,COMERCIO,,,3,2814,SECRETARIA EJECUTIVA,,,
198,COMERCIO EXTERIOR Y ADUANA,,,3,2814,SECRETARIA EJECUTIVA,,,
1830,COMERCIO EXTERIOR Y ADUANAS,,,3,2814,SECRETARIA EJECUTIVA,,,
146,COMERCIO EXTERIOR Y LEGISLACION ADUANERA,,,3,2814,SECRETARIA EJECUTIVA,,,
476,COMERCIO INTERNACIONA,,,3,2814,SECRETARIA EJECUTIVA,,,
1435,COMERCIO INTERNACIONAL,,,3,2814,SECRETARIA EJECUTIVA,,,
2330,COMERCIO INTERNACIONAL,,,3,2814,SECRETARIA EJECUTIVA BILINGUE Y CONTADOR PRIVADO,,,
1262,COMERCIO INTERNACIONAL,,,3,2814,SECRETARIA EJECUTIVA EN INFORMATICA,,,
48,COMERCIO INTERNACIONAL,,,3,2814,SECRETARIA EJECUTIVA Y CONTADOR PRIVADO,,,
1161,COMNICACIONES  Y ELECTRONICA,,,3,2814,SECRETARIA EJECUTIVA Y CONTADOR PRIVADO,,,
2711,COMUNICACION SOCIAL,,,3,2814,SECRETARIA EN AREAS CONTABLES Y COMERCIALES,,,
1829,COMUNICACION Y PERIODISMO,,,3,2814,SECRETARIA TAQUIMECANOGRAFA,,,
871,COMUNICACIONES,,,3,2814,"SECRETARIA, EN AREAS CONTABLES Y COMERCIALES",,,
1866,CONSULTORIO JURIDICO,,,3,2814,SECRETARIADO,,,
1176,CONTABILIDAD,,,3,2814,SECRETARIADO,,,
2601,CONTABILIDAD,,,3,2814,SECRETARIADO,,,
2620,CONTABILIDAD,,,3,2814,SECRETARIADO,,,
273,CONTABILIDAD,,,3,2814,SECRETARIADO,,,
2181,CONTABILIDAD,,,3,2814,SECRETARIADO,,,
1359,CONTABILIDAD,,,3,2814,SECRETARIADO COMERCIAL,,,
2239,CONTABILIDAD,,,3,2814,SECRETARIADO EJECUTIVO,,,
330,CONTABILIDAD,,,3,2814,SECRETARIADO EJECUTIVO,,,
259,CONTABILIDAD,,,4,2814,SECRETARA EJECUTIVA,,,
211,CONTABILIDAD ABMINISTRATIVA,,,4,2814,TAQUIMACANOGRAFIA,,,
2651,CONTABILIDAD PUBLICA,,,3,2831,TECNICO EN SEGURIDAD INDUSTRIAL,,,
2216,CONTABILIDAD PUBLICA,,,4,4120,MAESTRA,,,
1390,CONTABILIDAD Y ADMINISTRACION,,,5,4128,TECNICO EN PUERICULTURA INFANTIL,,,
2029,CONTADOR PRIVADA,,,4,4213,DISEÑO GARFICO,,,
2715,CONTADOR PRIVADA -CARRERA COMERCIAL-,,,4,4214,DISEÑO DE MODAS,,,
2124,CONTADOR PRIVADO,,,4,4214,DISEÑO EN ALTA COSTURA,,,
241,CONTADOR PRIVADO,,,2,4311,PSICOLOGIA,,,
1703,CONTADOR PRIVADO,,,2,4311,PSICOLOGIA,,,
469,CONTADOR PRIVADO,,,3,4315,TRABAJADORA SOCIAL,,,
272,CONTADOR PRIVADO,,,3,4321,CIENCIAS DE LA COMUNICACIONB,,,
326,CONTADOR PRIVADO,,,3,4334,AUXILIAR CONTABLE,,,
587,CONTADOR PRIVADO,,,3,4334,AUXILIAR CONTABLE,,,
2763,CONTADOR PRIVADO,,,3,4334,AUXILIAR CONTABLE,,,
344,CONTADOR PRIVADO,,,3,4334,CONTABILIDAD PUBLICA,,,
427,CONTADOR PRIVADO,,,3,4334,CONTADOR PRIVADO,,,
601,CONTADOR PRIVADO,,,3,4334,CONTADURIA,,,
2572,CONTADOR PRIVADO,,,3,4335,ADMINISTRACION DE EMPRESAS,,,
2208,CONTADOR PRIVADO,,,3,4335,GESTION EMPRESARIAL,,,
2360,CONTADOR PRIVADO,,,1,4432,ACTUARIO,,,
2445,CONTADOR PUBLICO,,,1,4441,PROGRAMADOR ANALISTA,,,
2327,CONTADOR PUBLICO,,,1,4441,PROGRAMADOR ANALISTA EN INFORMATICA,,,
2112,CONTADOR PUBLICO,,,1,4441,TECNICO EN COMPUTACION,,,
1898,CONTADOR PUBLICO,,,1,4441,TECNICO SUPERIOR UNIVERSITARIO EN INFORMATICA,,,
2121,CONTADOR PUBLICO,,,1,4441,TECNICO SUPERIOR UNIVERSITARIO EN INFORMATICA ADMI,,,
2125,CONTADOR PUBLICO,,,1,4511,MANTENIMIENTO INDUSTRIAL,,,
2324,CONTADOR PUBLICO,,,1,4515,MECANICA AUTOMOTRIZ,,,
172,CONTADOR PUBLICO,,,1,4515,TECNICO DE AVIACION,,,
1767,CONTADOR PUBLICO,,,1,4515,TSU EN MANUFACTURA AERONAUTICA EN MAQUINARIA DE PR,,,
2142,CONTADOR PUBLICO,,,2,4621,TECNICO VETERINARIO,,,
560,CONTADOR PUBLICO,,,2,4712,ENFERMERA,,,
2450,CONTADOR PUBLICO,,,2,4712,ENFERMERIA,,,
470,CONTADOR PUBLICO,,,2,4712,ENFERMERIA,,,
2755,CONTADOR PUBLICO,,,2,4713,ESPECIALISTA EN PROTESIS DENTALES,,,
575,CONTADOR PUBLICO,,,2,4713,ODONTOLOGIA,,,
814,CONTADOR PUBLICO,,,2,4715,PROFESIONAL ASOCIADO EN TERAPIA FISICA,,,
2489,CONTADOR PUBLICO,,,3,4814,SECRETARIA EJECUTIVA,,,
775,CONTADOR PUBLICO,,,3,4814,SECRETARIADO COMERCIAL,,,
2446,CONTADOR PUBLICO AUDITOR,,,3,5110,CIENCIA DE LA EDUCACION,,,
2143,CONTADOR PUBLICO Y AUDITOR,,,3,5110,CIENCIAS DE LA EDUCACION,,,
2654,CONTADURIA,,,3,5110,CIENCIAS DE LA EDUCACION,,,
2436,CONTADURIA,,,3,5110,CIENCIAS DE LA EDUCACION,,,
2809,CONTADURIA,,,3,5110,EDUCACION,,,
1369,CONTADURIA,,,3,5110,LECENCIATURA EN EDUCACION,,,
1319,CONTADURIA,,,3,5110,LICENCIADA EN CIENCIAS DE LA EDUCACION,,,
2662,CONTADURIA,,,3,5110,LICENCIADA EN EDUCACION,,,
872,CONTADURIA,,,3,5110,LICENCIADA EN EDUCACION,,,
1090,CONTADURIA,,,3,5110,LICENCIADA EN EDUCACION,,,
721,CONTADURIA,,,3,5110,LICENCIATURA EN EDUCACION,,,
2536,CONTADURIA,,,3,5110,LICENCIATURA EN EDUCACION,,,
173,CONTADURIA PUBLICA,,,3,5110,LICENCIATURA EN EDUCACION,,,
2332,CONTADURIA PUBLICA,,,3,5110,LICENCIATURA EN EDUCAION,,,
2155,CONTADURIA PUBLICA,,,2,5111,"LIC, EN PEDAGOGIA",,,
2156,CONTADURIA PUBLICA,,,2,5111,LICENCIATURA EN PEDAGOGIA,,,
2342,CONTADURIA PUBLICA,,,2,5111,LICENCIATURA EN PEDAGOGÍA,,,
1189,CONTADURIA PUBLICA,,,3,5111,LICENCIATURA EN EDUCACION SUPERIOR,,,
2513,CONTADURIA PUBLICA,,,4,5111,PEDAGOGIA,,,
539,CONTADURIA PUBLICA,,,4,5111,PEDAGOGIA,,,
543,CONTADURIA PUBLICA,,,2,5113,PSICOLOGIA EDUCATIVA,,,
2231,COPMERCIO,,,3,5113,LICENCIATURA EN INTERVENCION EDUCATICA,,,
2485,CRIMINOLOGIA,,,3,5120,DOCENTE EN EDUCACION,,,
1272,"CRIMINOLOGIA, CRIMINALISTICA",,,4,5120,NORMAL,,,
1695,CULTORA DE BELLEZA,,,4,5120,NORMAL SUPERIOR,,,
1160,CULTURA DE BELLEZA,,,3,5121,EDUCACION PREESCOLAR,,,
1424,DANZA CONTEMPORANEA,,,3,5121,LIC EN EDEUCACION PREESCOLAR,,,
333,DERECHO,,,3,5121,LIC.EN EDUACION PREESCOLAR,,,
876,DERECHO,,,3,5121,LICENCIATURA EN EDUCACION PEESCOLAR,,,
1078,DERECHO,,,3,5121,LICENCIATURA EN EDUCACION PREESCOLAR,,,
1067,DERECHO,,,3,5121,LICENCIATURA EN EDUCACION PREESCOLAR,,,
182,DERECHO,,,3,5121,LICENCIATURA EN EDUCACION PREESCOLAR,,,
354,DERECHO,,,3,5121,LICENCIATURA EN EDUCACION PREESCOLAR,,,
740,DERECHO,,,3,5121,LICENCIATURA EN PREESCOLAR,,,
2510,DERECHO,,,3,5122,LICENCIADA EN EDUCACION PRIMARIA,,,
1016,DERECHO,,,3,5122,LICENCIADA EN EDUCACION PRIMARIA,,,
649,DERECHO,,,3,5122,LICENCIADA EN EDUCACION PRIMARIA,,,
1820,DERECHO,,,3,5122,LICENCIADO EN EDUCACION PRIMARIA,,,
1433,DERECHO,,,3,5122,LICENCIADO EN EDUCACION PRIMARIA,,,
1596,DERECHO,,,3,5122,LICENCIADO EN EDUCACION PRIMARIA,,,
2369,DERECHO,,,3,5122,LICENCIATURA EN EDUCACION BASICA,,,
2792,DERECHO CONSTITUCIONAL,,,3,5122,LICENCIATURA EN EDUCACION PRIMARIA,,,
1804,DERECHO FISCAL Y EMPRESARIAL,,,3,5122,LICENCIATURA EN EDUCACION PRIMARIA,,,
322,DERECHO HESTION YAMPARO,,,3,5122,LICENCIATURA EN EDUCACION PRIMARIA,,,
2107,DERECHO PENAL,,,3,5122,LICENCIATURA EN EDUCACION PRIMARIA,,,
1689,DERECHO Y CIENCIAS JURIDICAS,,,4,5122,MAESTRA DE EDUCACION PRIMARIA,,,
2141,DESARROLLO DE NEGOCIOS,,,4,5122,PROFESOR DE EDUCACION PRIMARIA,,,
1873,DESARROLLO E INNOVACION EMPRESARIAL,,,3,5123,EDUCACION SECUNDARIA,,,
1427,DIFICULTADES EN EL APRENDIZAJE,,,3,5123,LICENCIATURA EN ESPAÑOL,,,
958,DISEÑO,,,4,5123,MAESTRA DE NIVEL SECUNDARIA,,,
1058,DISEÑO DE INTERIORES,,,3,5126,EDUCACIOON FISICA,,,
