,S3P2_ES,,,z,S3P2,S3P2_ES,,,
2222,LICENCIADO EN CONTADURIA PUBLICA,,,3,5341,LICENCIADA EN DERECHO,,,
426,LICENCIADO EN DERECHO,,,3,5341,LICENCIADA EN DERECHO,,,
2315,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN CIENCIAS JURIDICAS,,,
2814,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN DERECHO,,,
673,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN DERECHO,,,
2110,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN DERECHO,,,
2496,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN DERECHO,,,
2806,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN DERECHO,,,
1536,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN DERECHO,,,
780,LICENCIADO EN DERECHO,,,3,5341,LICENCIADO EN DERECHO,,,
481,LICENCIADO EN DISEÑO,,,3,5341,LICENCIADO EN DERECHO,,,
1366,LICENCIADO EN DISEÑO,,,3,5341,LICENCIATURA  EN DERECHO,,,
670,LICENCIADO EN DISEÑO GRAFICO,,,3,5341,LICENCIATURA EN DERECHO,,,
2271,LICENCIADO EN ECONOMIA,,,3,5341,LICENCIATURA EN DERECHO,,,
2019,LICENCIADO EN EDUCACION FISICA,,,3,5341,LICENCIATURA EN DERECHO,,,
1551,LICENCIADO EN EDUCACION PRIMARIA,,,3,5341,LICENCIATURA EN DERECHO,,,
257,LICENCIADO EN EDUCACION PRIMARIA,,,3,5341,LICENCIATURA EN DERECHO,,,
1574,LICENCIADO EN EDUCACION PRIMARIA,,,3,5341,LICENCIATURA EN DERECHO,,,
1563,LICENCIADO EN ENFERMERIA,,,3,5341,LICENCIATURA EN DERECHO,,,
2458,LICENCIADO EN MERCADOTECNIA,,,3,5341,LICENCIATURA EN DERECHO,,,
151,LICENCIADO EN MERCADOTECNIA,,,3,5341,LICENCIATURA EN DERECHO,,,
213,LICENCIARURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
2354,LICENCIARURA EN INGLES,,,3,5341,LICENCIATURA EN DERECHO,,,
715,LICENCIATURA  EN DERECHO,,,3,5341,LICENCIATURA EN DERECHO,,,
1909,LICENCIATURA ADMINISTRATIVA,,,3,5341,LICENCIATURA EN DERECHO,,,
1748,LICENCIATURA DE ARQUITECTURA,,,3,5341,LICENCIATURA EN DERECHO,,,
2082,LICENCIATURA DE PFISIOTERAPIA,,,3,5341,LICENCIATURA EN DERECHO,,,
2461,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
1570,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
565,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
1514,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
1496,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
1766,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
2790,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
811,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIATURA EN DERECHO,,,
816,LICENCIATURA EN ADMINISTRACION,,,3,5341,LICENCIOADA EN DERECHO,,,
292,LICENCIATURA EN ADMINISTRACION,,,3,5342,CRIMINOLOGIA,,,
520,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,,,3,5342,"CRIMINOLOGIA, CRIMINALISTICA",,,
389,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,,,2,5411,BIOLOGIA,,,
2186,LICENCIATURA EN ADMINISTRACION DE EMPRESAS,,,2,5411,BIOLOGIA,,,
2358,LICENCIATURA EN ADMINISTRACION DE EMPRESAS.,,,2,5411,BIOLOGIA MARINA,,,
1783,LICENCIATURA EN ADMINISTRACION PUBLICA,,,2,5411,LICENCIADA EN BIOLOGIA,,,
1776,LICENCIATURA EN ADMINISTRACION TURISTICA,,,2,5411,LICENCIADO EN BIOLOGIA,,,
342,LICENCIATURA EN ADMINISTRACION Y EMPRESAS,,,2,5411,QUIMICO FARMACOBIOLOGIA,,,
1493,LICENCIATURA EN ADMINISTRACIÓN,,,2,5411,QUIMICO FARMACOBIOLOGO,,,
1170,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,,,2,5411,QUIMICO FARMACOBIOLOGO,,,
900,LICENCIATURA EN ADMINISTRADOR DE EMPRESAS,,,1,5412,INGENIERO EN ECOLOGIA,,,
2635,LICENCIATURA EN ADMON DE EMPRESAS,,,2,5412,LICENCIATURA EN CIENCIAS AMBIENTALES,,,
1777,LICENCIATURA EN ARQUITECTURA,,,2,5422,QUIMICA,,,
1313,LICENCIATURA EN ARTES PLASTICAS,,,2,5423,LICENCIATURA EN GEOGRAFIA,,,
1615,LICENCIATURA EN BANCA Y FINANZAS,,,1,5431,LICENCIATURA EN MATEMATICAS,,,
2780,LICENCIATURA EN CIENCIAS AMBIENTALES,,,1,5432,ACTUARIA,,,
1500,LICENCIATURA EN CIENCIAS APLICADAS AL DEPORTE,,,1,5441,INFORMATICA,,,
554,LICENCIATURA EN CIENCIAS POLITICAS Y ADMINISTRACIO,,,1,5441,INFORMATICA,,,
2144,LICENCIATURA EN CIENCIAS SOCIALES,,,1,5441,INFORMATICA,,,
219,LICENCIATURA EN COMERCIO EXTERIOR,,,1,5441,INFORMATICA ADMINISTRATIVA,,,
1576,LICENCIATURA EN COMERCIO INTERNACIONAL,,,1,5441,INGENIERIA EN INFORMATICA,,,
1710,LICENCIATURA EN COMPUTACION,,,1,5441,INGENIERIA EN INFORMATICA Y SISTEMAS COMPUTACIONAL,,,
1593,LICENCIATURA EN CONTABILIDAD,,,1,5441,INGENIERIA EN SOFTWARE,,,
209,LICENCIATURA EN CONTADURIA,,,1,5441,INGENIERIA EN TECNOLOGIA DE SOFTWARE,,,
1782,LICENCIATURA EN CONTADURIA,,,1,5441,LICENCIATURA EN INFORMATICA,,,
2135,LICENCIATURA EN CONTADURIA,,,1,5441,LICENCIATURA EN INFORMATICA,,,
2838,LICENCIATURA EN CONTADURIA,,,1,5441,LICENCIATURA EN INFORMATICA,,,
2845,LICENCIATURA EN CONTADURIA,,,1,5441,LICENCIATURA EN INFORMATICA,,,
2610,LICENCIATURA EN CONTADURIA PUBLICA,,,1,5441,LICENCIATURA EN SISTEMAS COMPUTACIONALES,,,
1172,LICENCIATURA EN CONTADURÍA PUBLICA,,,1,5441,RÍA EN COMPUTACIÓN,,,
1959,LICENCIATURA EN DANSA CONTEMPORANEA,,,1,5441,SISTEMAS COMPUTACIONALES ADMINISTRATIVOS,,,
1017,LICENCIATURA EN DERECHO,,,1,5441,SISTEMAS DE INFORMACION,,,
1775,LICENCIATURA EN DERECHO,,,3,5441,ADMINISTRACION EN SISTEMAS COMPUTACIONALES,,,
1901,LICENCIATURA EN DERECHO,,,3,5441,LICENCIATURA EN COMPUTACION,,,
2109,LICENCIATURA EN DERECHO,,,3,5441,LICENCIATURA EN NFORMATICA ADMINISTRATIVA,,,
1779,LICENCIATURA EN DERECHO,,,3,5441,LICENCIATURA ENE INFORMATICA,,,
2218,LICENCIATURA EN DERECHO,,,1,5510,IJNGENERIA INDUSTRIAL,,,
2120,LICENCIATURA EN DERECHO,,,1,5510,ING. INDISTRIAL,,,
1903,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA,,,
1489,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1231,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1499,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1232,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
2567,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
88,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1003,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
2684,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
812,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
2193,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1528,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1734,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
542,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1726,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
2149,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
1422,LICENCIATURA EN DERECHO,,,1,5510,INGENIERIA INDUSTRIAL,,,
2298,LICENCIATURA EN DISEÑO GRAFICO,,,1,5510,INGENIERO,,,
1881,LICENCIATURA EN DISEÑO GRÁFICO,,,1,5510,INGENIERO,,,
1168,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFIC,,,1,5510,INGENIERO INDUSTRIAL,,,
2064,LICENCIATURA EN ECONOMIA,,,1,5510,INGENIERO INDUSTRIAL,,,
1594,LICENCIATURA EN ECONOMIA,,,1,5510,INGIENERIA INDUSTRIAL,,,
1281,LICENCIATURA EN ECONOMIA,,,1,5510,INGIENERIA INDUSTRIAL,,,
2362,LICENCIATURA EN ECONOMIA,,,1,5511,INGENERIA EN MANTENIMIENTO INDUSTRIAL,,,
981,LICENCIATURA EN EDUCACION,,,1,5511,INGENIERIA EN MANTENIMIENTO  INDUSTRIAL,,,
2765,LICENCIATURA EN EDUCACION,,,1,5511,INGENIERIA EN MANTENIMIENTO INDUSTRIAL,,,
1843,LICENCIATURA EN EDUCACION,,,1,5511,INGENIERIA EN MECATRONICA,,,
665,LICENCIATURA EN EDUCACION,,,1,5511,INGENIERIA EN MECATRONICA,,,
2836,LICENCIATURA EN EDUCACION BASICA,,,1,5511,INGENIERIA MECANICA,,,
566,LICENCIATURA EN EDUCACION FISICA,,,1,5511,INGENIERIA MECANICA,,,
2452,LICENCIATURA EN EDUCACION PEESCOLAR,,,1,5511,INGENIERIA MECANICA ELECTRICA,,,
1910,LICENCIATURA EN EDUCACION PREESCOLAR,,,1,5511,INGENIERIA MECANICA INDUSTRIAL,,,
325,LICENCIATURA EN EDUCACION PREESCOLAR,,,1,5511,INGENIERO MECANICO,,,
42,LICENCIATURA EN EDUCACION PREESCOLAR,,,1,5511,INGENIERO MECANICO,,,
743,LICENCIATURA EN EDUCACION PREESCOLAR,,,1,5511,INGENIERO MECANICO,,,
1309,LICENCIATURA EN EDUCACION PRIMARIA,,,1,5511,INGENIERO MECANICO ELECTRICISTA,,,
999,LICENCIATURA EN EDUCACION PRIMARIA,,,1,5511,INGENIERO MECANICO ELECTRICO,,,
2840,LICENCIATURA EN EDUCACION PRIMARIA,,,1,5511,INGENIERO MECANICO ELECTRICO,,,
1947,LICENCIATURA EN EDUCACION PRIMARIA,,,1,5511,INGENIERO METALURGUISTA,,,
2265,LICENCIATURA EN EDUCACION SUPERIOR,,,1,5511,INGERIA MECANICA,,,
2526,LICENCIATURA EN EDUCAION,,,1,5511,MECATRONICA,,,
1542,LICENCIATURA EN ENEFERMERIA Y OBSTETRICIA,,,1,5511,MECATRONICA,,,
494,LICENCIATURA EN ENFERMERIA,,,1,5511,NGENIERIA MECATRONICA,,,
2356,LICENCIATURA EN ENFERMERIA,,,1,5512,ELETROMECANICA,,,
1613,LICENCIATURA EN ENFERMERIA,,,1,5512,INEGENIERIA INDUSTRIAL ELECTRICA,,,
987,LICENCIATURA EN ENFERMERIA,,,1,5512,INGENERIA ELECTRO MECANICA,,,
134,LICENCIATURA EN ENFERMERIA,,,1,5512,INGENIERIA EN ENERGIA,,,
2233,LICENCIATURA EN ENFERMERIA,,,1,5512,INGENIERIA EN SISTEMAS ENERGETICOS,,,
973,LICENCIATURA EN ENFERMERIA,,,1,5512,INGENIERO ELECTRICISTA,,,
1862,LICENCIATURA EN ENFERMERIA,,,1,5512,INGIENERIA EN ELECTROMECANICA,,,
2789,LICENCIATURA EN ENFERMERIA,,,2,5512,ENERGIA RENOVABLES,,,
2180,LICENCIATURA EN ENFERMERIA,,,1,5513,INGENIERIA ELECTRONICA,,,
1107,LICENCIATURA EN ESPAÑOL,,,1,5513,INGENIERIA ELECTRONICA,,,
2240,LICENCIATURA EN FICIOTERAPIA Y REAVILITACION FISIC,,,1,5513,INGENIERIA EN ELECTRONICA,,,
1927,LICENCIATURA EN FINANZAS Y BANCA,,,1,5513,INGENIERIA EN ROBOTICA,,,
705,LICENCIATURA EN FISIO TERAPIA,,,1,5513,INGENIERIA INDUSTRIAL EN ELECTRONICA,,,
2788,LICENCIATURA EN GASTRONOMIA,,,1,5513,SISTEMAS DIGITALES Y ROBOTICA,,,
1486,LICENCIATURA EN GASTRONOMIA,,,1,5514,INGENIERIA BIOQUIMICA,,,
2421,LICENCIATURA EN GASTRONOMIA,,,1,5514,INGENIERIA QUIMICA,,,
2783,LICENCIATURA EN GASTRONOMIA,,,1,5514,INGENIERIA QUIMICA,,,
1317,LICENCIATURA EN GEOGRAFIA,,,1,5514,INGENIERIA QUIMICA,,,
1979,LICENCIATURA EN GESTION Y DESARROLLO TURISTICO,,,1,5514,INGENIERIA QUIMICA,,,
252,LICENCIATURA EN HISTORIA,,,1,5514,INGENIERO QUIMICO,,,
1452,LICENCIATURA EN INFORMATICA,,,1,5514,INGIENERIA QUIMICA,,,
2846,LICENCIATURA EN INFORMATICA,,,2,5514,QUIMICO INDUSTRIAL,,,
2704,LICENCIATURA EN INFORMATICA,,,1,5515,INGENIERIA MECANICA DE AVIACION,,,
2172,LICENCIATURA EN INFORMATICA,,,1,5515,PILOTO AVIADOR,,,
2269,LICENCIATURA EN INTERVENCION EDUCATICA,,,1,5515,TECNICO EN AVIACION,,,
651,LICENCIATURA EN MATEMATICAS,,,1,5516,INGENERIA AMBIENTAL,,,
569,LICENCIATURA EN MEDICINA HUMANA,,,1,5516,INGENIERIA AMBIENTAL,,,
324,LICENCIATURA EN MEDICO CIRUJANO,,,1,5517,ELECTRONICA Y COMUNICASIONES,,,
1957,LICENCIATURA EN MERCADOTECNIA,,,1,5517,ING. INDUSTRIAL Y SISTEMAS,,,
316,LICENCIATURA EN MERCADOTECNIA,,,1,5517,INGENERIA EN TECNOLOGIA COMPUTACIONAL,,,
359,LICENCIATURA EN MERCADOTECNIA,,,1,5517,INGENIERI EN DESARROLLO COMPUTACIONAL,,,
1564,LICENCIATURA EN MERCADOTECNIA,,,1,5517,INGENIERIA EN COMPUTACION,,,
950,LICENCIATURA EN MERCADOTECNIA Y PUBLICIDAD,,,1,5517,INGENIERIA EN COMUNICACIONES Y ELECTRONICA,,,
2167,LICENCIATURA EN NCONTABILIDAD,,,1,5517,"INGENIERIA EN SISTE,AS COMPUTACIONALES",,,
2517,LICENCIATURA EN NFORMATICA ADMINISTRATIVA,,,1,5517,INGENIERIA EN SISTEMA,,,
2717,LICENCIATURA EN NUTRICION,,,1,5517,INGENIERIA EN SISTEMAS,,,
1995,LICENCIATURA EN NUTRICION Y GASTRONOMIA,,,1,5517,INGENIERIA EN SISTEMAS,,,
755,LICENCIATURA EN ODONTOLOGÍA,,,1,5517,INGENIERIA EN SISTEMAS COM PUTACIONALES,,,
1480,LICENCIATURA EN PEDAGOGIA,,,1,5517,INGENIERIA EN SISTEMAS COMPUTACINALES,,,
1245,LICENCIATURA EN PEDAGOGÍA,,,1,5517,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,
1367,LICENCIATURA EN PREESCOLAR,,,1,5517,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,
2766,LICENCIATURA EN PSICOLOGIA,,,1,5517,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,
2782,LICENCIATURA EN PSICOLOGIA,,,1,5517,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,
2187,LICENCIATURA EN PSICOLOGIA,,,1,5517,INGENIERIA EN SISTEMAS COMPUTACIONALES,,,
2694,LICENCIATURA EN PSICOLOGIA,,,1,5517,INGENIERIA EN SISTEMAS COPUTACIONALES,,,
2060,LICENCIATURA EN PSICOLOGIA,,,1,5517,INGENIERIA EN SISTEMAS DE COMPUTACION ELECTRONICA,,,
2256,LICENCIATURA EN RELACIONES COMERCIALES,,,1,5517,INGENIERIA EN SISTEMAS Y TECNOLOGIAS INDUSTRIALES,,,
573,LICENCIATURA EN SISTEMAS COMPUTACIONALES,,,1,5517,INGENIERIA EN TECNOLOGIAS DE INFORMACION Y COMUNIC,,,
2299,LICENCIATURA EN TERAPIA FISICA,,,1,5517,INGENIERIRIA EN SISTEMA,,,
2758,LICENCIATURA EN TRABAJO SOCIAL,,,1,5517,INGENIERO EN COMUNICACIONES Y ELECTRONICA,,,
2563,LICENCIATURA ENE INFORMATICA,,,1,5517,INGENIERO EN COMUNICACIONES Y ELECTRONICA,,,
2395,LICENCIATURA SIN NOMBRE,,,1,5517,INGENIERO EN SISTEMAS COMPUTACIONALES,,,
144,LICENCIDO EN DERECHO,,,1,5517,INGIENERIA EN SISTEMAS COMPUTACIONALES,,,
2632,LICENCIOADA EN DERECHO,,,1,5517,LINCECIATURA EN SISTEMAS COMPUTACIONALES,,,
2406,LICENIATURA EN ADMINISTRAION DE EMPRESAS,,,1,5517,SISTEMA COMPUTACIONALES,,,
403,LICIENCIATURA EN ENFERMERIA,,,1,5517,SISTEMAS COMPUTACIONALES,,,
2437,LICIENTATURA N ENFERMERIA,,,2,5517,COMNICACIONES  Y ELECTRONICA,,,
165,LICIENTURA EN TURISMO,,,3,5517,COMUNICACIONES,,,
2396,LIDERAZGO EN ADMINISTRACION ACADEMICA,,,1,5520,INGENIERIA EN PROCESOS INDUSTRIALES,,,
2793,LINCECIATURA EN SISTEMAS COMPUTACIONALES,,,1,5520,INGENIERIA INDUSTRIAL EN PRODUCCION,,,
1052,LINGUISTICA,,,1,5520,INGENIERIA INDUSTRIAL ESPECIALIDAD EN PRODUCTIVIDA,,,
1318,MAESTRA,,,1,5521,INGENIERIA EN ALIMENTOS,,,
1103,MAESTRA DE EDUCACION PRIMARIA,,,1,5522,INGENIERIA TEXTIL,,,
838,MAESTRA DE EDUCACION PRIMARIA,,,1,5524,IMNGENIERO MINERO,,,
2804,MAESTRA DE NIVEL SECUNDARIA,,,1,5524,INGENIERO GEOLOGO,,,
21,MAESTRA DE PRIMARIA,,,1,5524,INGENIERO MINERO METALURGISTA,,,
782,MAESTRA DE PRIMARIA,,,1,5531,ARQUITECTO,,,
295,MAESTRA DE PRIMARIA,,,1,5531,ARQUITECTO,,,
477,MAESTRAIA EN DERECHO ECONOMICO,,,1,5531,ARQUITECTURA,,,
1700,MAESTRIA EN ADMINISTRACION,,,1,5531,ARQUITECTURA,,,
2779,MAESTRIA EN ADMINISTRACION,,,1,5531,ARQUITECTURA,,,
616,MAESTRIA EN ADMINISTRACION DE EMPRESAS,,,1,5531,ARQUITECTURA,,,
2297,MAESTRIA EN ADMINISTRACION DE NEGOCIOS,,,1,5531,ARQUITECTURA,,,
553,MAESTRIA EN ADMINISTRACION PUBLICA,,,1,5531,ARQUITECTURA,,,
1568,MAESTRIA EN ADMINISTRACION Y NEGOCIOS,,,1,5531,ARQUITECTURA,,,
249,MAESTRIA EN BIBLIOTECOLOGIA,,,1,5531,ARQUITECTURA,,,
2331,MAESTRIA EN CICOTERAPIA INFANTIL,,,1,5531,ARQUITECTURA,,,
2820,MAESTRIA EN CIENCIA JURIDICO PENAL,,,1,5531,ARQUITECTURA,,,
1470,MAESTRIA EN CIENCIAS COGNITIVAS,,,1,5531,ARQUITECTURA,,,
1798,MAESTRIA EN CIENCIAS DE LA EDUCACION,,,1,5531,ARQUITECTURA,,,
177,MAESTRIA EN CIENCIAS QUIMICAS,,,1,5531,ARQUITECTURA,,,
2787,MAESTRIA EN COMUNICACIONES,,,1,5531,ARQUITECTURA,,,
586,MAESTRIA EN DERECHO,,,1,5531,ARQUITECTYRA,,,
1162,MAESTRIA EN DISEÑO INDUSTRIAL,,,1,5531,LICENCIATURA EN ARQUITECTURA,,,
2761,MAESTRIA EN EDUCACION,,,3,5531,LICENCIATURA DE ARQUITECTURA,,,
2059,MAESTRIA EN EDUCACION,,,1,5532,INGENERIA CIVIL,,,
663,MAESTRIA EN EDUCACION,,,1,5532,INGENERIA CIVIL,,,
2295,MAESTRIA EN EDUCACION,,,1,5532,INGENIERI CIVIL,,,
1770,MAESTRIA EN EDUCACION,,,1,5532,INGENIERIA CIVIL,,,
652,MAESTRIA EN EDUCACION BASICA,,,1,5532,INGENIERIA CIVIL,,,
1412,MAESTRIA EN HISTORIA REGIONAL,,,1,5532,INGENIERIA CIVIL,,,
2693,MAESTRIA EN INGENIERIA INDUSTRIAL,,,1,5532,INGENIERIA CIVIL,,,
2816,MAESTRIA EN INTERVENCION EN PAREJA Y FAMILIA,,,1,5532,INGENIERIA CIVIL,,,
2696,MAESTRIA EN MERCADOTECNIA,,,1,5532,INGENIERIA CIVIL,,,
248,MAESTRIA EN NEGOCIOS,,,1,5532,INGENIERIA CIVIL,,,
1548,MAESTRIA EN PEDADOGIA,,,1,5532,INGENIERIA CIVIL,,,
558,MAESTRIA EN PSICOPEDAGOGIA,,,1,5532,INGENIERIA CIVIL,,,
2827,MAESTRIA EN SICOTERAPIA,,,1,5532,INGENIERO CIVIL,,,
282,MAESTRIA EN VENTAS,,,1,5532,INGENIERO CIVIL,,,
1473,MAESTRIAN EN ADIMINISTRACION,,,1,5532,INGENIERO CIVIL,,,
2712,MAESTRO DE PRIMARIA,,,1,5532,INGENIERO CIVIL,,,
2722,MAESTRO EN EDUCACION PRIMARIA,,,1,5532,INGENIERO CIVIL,,,
262,MAESTRO EN EDUCACION PRIMARIA,,,1,5532,INGENIERO CIVIL,,,
2709,MANTENIMIENTO DE COMPUTADORAS,,,1,5532,INGENIERO CIVIL,,,
2728,MANTENIMIENTO INDUSTRIAL,,,1,5532,INGENIOERIA CIVIL,,,
1994,MARKETING Y PUBLICIDAD,,,1,5611,INGENIERO AGRONOMO,,,
304,MASTER EN COMPUTACION,,,1,5611,INGENIERO AGRONOMO,,,
2160,MATEMATICAS AVANSADAS,,,1,5611,INGENIERO AGRONOMO,,,
203,MECANICA AUTOMOTRIZ,,,1,5611,INGENIERO AGRONOMO,,,
1102,MECATRONICA,,,1,5611,INGENIERO ZOOTECNISTA,,,
1626,MECATRONICA,,,2,5611,AGRONOMIA,,,
2176,MEDICINA,,,2,5611,AGRONOMIA,,,
337,MEDICINA,,,2,5611,AGRONOMIA,,,
1059,MEDICINA,,,1,5613,INGENIERIA EN RESTAURACION FORESTAL,,,
574,MEDICINA,,,1,5614,INGENIERIA PESQUERA,,,
1349,MEDICINA,,,2,5621,MEDICINA VETERINARIA,,,
1149,MEDICINA  FAMILIAR,,,2,5621,MEDICINA VETERINARIA DE ZOOTECNIA,,,
145,MEDICINA FAMILIAR,,,2,5621,MEDICINA VETERINARIA Y ZOOTECNIA,,,
2801,MEDICINA FAMILIAR,,,2,5621,MEDICO VETERINARIO,,,
1623,MEDICINA GENERAL,,,2,5621,MEDICO VETERINARIO ZOOTECNISTA,,,
428,MEDICINA GENERAL,,,2,5621,MEDICO VETERINARIO ZOOTECNISTA,,,
431,MEDICINA VETERINARIA,,,2,5621,VETERINARIA,,,
2770,MEDICINA VETERINARIA DE ZOOTECNIA,,,2,5711,DOCTORA,,,
2210,MEDICINA VETERINARIA Y ZOOTECNIA,,,2,5711,LICENCIATURA EN MEDICINA HUMANA,,,
1475,MEDICO,,,2,5711,LICENCIATURA EN MEDICO CIRUJANO,,,
2457,MEDICO CIRUJANO,,,2,5711,MEDICINA,,,
2397,MEDICO CIRUJANO,,,2,5711,MEDICINA,,,
960,MEDICO CIRUJANO,,,2,5711,MEDICINA,,,
2849,MEDICO CIRUJANO DENTISTA,,,2,5711,MEDICINA,,,
2762,MEDICO CIRUJANO DENTISTA,,,2,5711,MEDICINA,,,
551,MEDICO CIRUJANO GENERAL,,,2,5711,MEDICINA GENERAL,,,
1541,MEDICO CIRUJANO PARTERO,,,2,5711,MEDICINA GENERAL,,,
1656,MEDICO CIRUJANO Y PARTERO,,,2,5711,MEDICO,,,
1084,MEDICO GENERAL,,,2,5711,MEDICO CIRUJANO,,,
1773,MEDICO QUIRURGUICO,,,2,5711,MEDICO CIRUJANO,,,
1624,MEDICO VETERINARIO,,,2,5711,MEDICO CIRUJANO,,,
2598,MEDICO VETERINARIO ZOOTECNISTA,,,2,5711,MEDICO CIRUJANO GENERAL,,,
2835,MEDICO VETERINARIO ZOOTECNISTA,,,2,5711,MEDICO CIRUJANO PARTERO,,,
1175,MERCADOTECNIA,,,2,5711,MEDICO CIRUJANO Y PARTERO,,,
1997,MERCADOTECNIA,,,2,5711,MEDICO GENERAL,,,
883,MERCADOTECNIA,,,2,5711,MEDICO QUIRURGUICO,,,
355,MERCDOCTENIA,,,2,5712,ENFERMERA,,,
1402,NBEGOCIOS INTERNACIONALES,,,2,5712,ENFERMERA,,,
2126,NEGOCIOS INTERNACIONALES,,,2,5712,ENFERMERIA,,,
2832,NGENIERIA MECATRONICA,,,2,5712,ENFERMERIA,,,
77,NO QUIZO RESPONDER,,,2,5712,ENFERMERIA,,,
1037,NORMAL,,,2,5712,ENFERMERIA,,,
2506,NORMAL BASICA,,,2,5712,ENFERMERIA,,,
2503,NORMAL PRIMARIA,,,2,5712,ENFERMERIA GENERAL,,,
1073,NORMAL SUPERIOR,,,2,5712,ENFERMERIA Y OBSTETRICIA,,,
2007,NORMALISTA,,,2,5712,LIC EN ENFERMERIA,,,
2201,NUTRICION,,,2,5712,LICENCIADA EN EMFERMERIA,,,
785,NUTRICION,,,2,5712,LICENCIADA EN ENFERMERIA,,,
2695,NUTRICION CLINICA,,,2,5712,LICENCIADA EN ENFERMERIA,,,
1752,ODONTOLOGIA,,,2,5712,LICENCIADO EN ENFERMERIA,,,
2825,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENEFERMERIA Y OBSTETRICIA,,,
1546,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1560,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1659,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1389,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
657,ODONTOLOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
521,OLISTICA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
1241,OPTOMETRIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
868,PEDAGOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
2604,PEDAGOGIA,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
467,PERIODISMO,,,2,5712,LICENCIATURA EN ENFERMERIA,,,
430,PILOTO AVIADOR,,,2,5712,LICIENCIATURA EN ENFERMERIA,,,
1249,PREPARACIÓN DE ALIMENTOS Y BEBIDAS,,,2,5712,LICIENTATURA N ENFERMERIA,,,
1610,PROFESIONAL ASOCIADO EN TERAPIA FISICA,,,2,5712,URGENCIAS MEDICAS PREHOSPITALARIAS,,,
1614,PROFESIONAL TECNICO CONTABLE ADMINISTRATIVO,,,2,5713,CD LIC EN ODONTOLOGIA,,,
2010,PROFESIONAL TECNICO EN TURISMO,,,2,5713,CIRUJANO DENTISTA,,,
